stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone
10415,,Stanley St and Henry St,,41.66033,-72.76872,,,,,
10416,,Stanley St and Schultz St,,41.658954,-72.768443,,,,,
10417,,Stanley St and Bingham St,,41.656335,-72.767659,,,,,
10418,,Stanley St and South St,,41.652914,-72.769186,,,,,
10419,,South St and Stanley St,,41.65252,-72.767929,,,,,
1042,,Brewer St and Opp Mitchell Dr,,41.745963,-72.611189,,,,,
10420,,South St and Opp Sherrill St,,41.652733,-72.765812,,,,,
10421,,South St and Opp East St,,41.653009,-72.763308,,,,,
10427,,Christian Ln and DSS,,41.653314,-72.749821,,,,,
10428,,John Downey Dr and South St,,41.654281,-72.75288,,,,,
10429,,John Downey Dr and Opp Precision Ct,,41.659769,-72.753951,,,,,
10430,,John Downey Dr and Opp Production Ct,,41.665042,-72.75518,,,,,
10431,,Belden St and Wildwood St,,41.667545,-72.756096,,,,,
10432,,Woodland Ave and Metropolitan Learning Ctr,,41.869526,-72.725449,,,,,
10433,,Woodland Ave and Opp Metropolitan Learning Ctr,,41.869561,-72.725182,,,,,
10435,,John Downey Dr and Production Ct,,41.664622,-72.755422,,,,,
10436,,South St and Lowell St,,41.654014,-72.754901,,,,,
1044,,Brewer St and 274 Brewer St,,41.74516,-72.617041,,,,,
10440,,John Downey Dr and Precision Ct,,41.659295,-72.754012,,,,,
10441,,Rocky Hill Ave and South St,,41.653775,-72.758469,,,,,
10442,,Rocky Hill Ave and Halsey Rd,,41.655813,-72.758806,,,,,
10443,,Rocky Hill Ave and Bingham St,,41.657645,-72.759457,,,,,
10444,,Rocky Hill Ave and Ellis St,,41.658879,-72.761258,,,,,
10445,,Rocky Hill Ave and 98 Rocky Hill Ave,,41.6598,-72.761777,,,,,
10446,,Rocky Hill Ave and Kelsey St,,41.661998,-72.762259,,,,,
1045,,Brewer St and 236 Brewer St,,41.744842,-72.619331,,,,,
10455,,Stanley St and Whiting St,,41.662627,-72.769396,,,,,
10456,,Stanley St and Pleasant St,,41.664022,-72.770121,,,,,
10457,,Stanley St and Park st,,41.665872,-72.771002,,,,,
10458,,Chestnut St and Stanley St,,41.666516,-72.772187,,,,,
10459,,Chestnut St and Goodwill,,41.66624,-72.774909,,,,,
1046,,Brewer St and Opp Jefferson Ln,,41.744488,-72.622021,,,,,
10460,,Columbus Blvd and Main St,,41.668494,-72.781186,,,,,
10461,,Rockville Park and Ride lot and Reservoir Rd,,41.852794,-72.430331,,,,,
10464,,Vernon Park and Ride Lot and Hartford Tpke,,41.827898,-72.48534,,,,,
1047,,Brewer St and Opp Graham Rd,,41.7441,-72.624796,,,,,
